Name,Year,Duration,Genre,Rating,Votes
Alam Ara,1973,124,Drama,6.8,8
Alavuddinum Athbutha Vilakkum,1979,144,"Adventure, Drama, Fantasy",6.6,161
Albela,2001,145,"Comedy, Drama, Romance",3.7,737
Albela,1951,158,"Comedy, Drama, Musical",7,82
Albert Pinto Ko Gussa Kyon Ata Hai,1980,110,"Comedy, Drama, Romance",7.5,428
Albert Pinto Ko Gussa Kyun Aata Hai?,2019,100,Drama,5.5,349
Alex's Strip,2019,109,Drama,5.9,37
Ali Baba and 40 Thieves,1966,154,"Adventure, Fantasy, Romance",6.4,14
Alibaba and 40 Thieves,1954,145,"Action, Adventure, Drama",6.2,46
Alibaba Marjinaa,1977,163,"Action, Adventure",6.7,27
Alif,2017,120,Drama,6.5,137
Alif-Laila,1953,135,Fantasy,6.3,11
Aligarh,2015,114,"Biography, Drama",7.8,6402
All Is Well,2015,126,"Comedy, Drama, Romance",3.8,1513
All Ladies Do It,2020,97,Thriller,7.9,384
All Rounder,1984,128,"Action, Drama",4.8,31
All the Best: Fun Begins,2009,144,"Action, Comedy, Drama",6.2,5786
Allah Ke Banday,2010,123,"Action, Crime, Drama",6.1,303
Allah Meharban To Gadha Pehalwan,1997,149,Comedy,4.3,7
Allah-Rakha,1986,160,"Action, Drama",5.4,132
Alone,2015,133,Horror,3.7,1622
Always Kabhi Kabhi,2011,126,"Comedy, Crime, Drama",4,1295
Amaanat,1994,140,"Action, Drama",4.7,552
Aman,1967,152,"Adventure, Drama, Romance",6.5,41
Aman Ke Farishtey,2016,137,Action,6.6,23
Amanush,1975,153,"Drama, Family",7,232
Amar,1954,149,"Drama, Musical, Romance",6.8,162
Amar Deep,1958,148,"Musical, Romance",6.6,38
Amar Jyoti,1936,166,Drama,6.1,17
Amar Prem,1972,143,"Drama, Musical, Romance",8.2,1592
Amar Prem,2020,143,Drama,4.4,25
Amar Rahe Ye Pyar,1961,121,Drama,6.5,14
Amar Shakti,1978,133,"Action, Adventure, Comedy",4.9,16
"Amar, Akbar and Anthony",1977,184,"Action, Comedy, Drama",7.5,7336
Amavas,2019,134,"Horror, Thriller",2.8,308
Amba,1990,153,Family,4.2,41
Amber,1952,141,"Action, Adventure, Drama",6.9,65
Amdavad Junction,2013,95,Mystery,4.4,16
American Desi,2001,100,"Comedy, Drama, Romance",6.6,1585
Amir Garib,1974,140,"Action, Thriller",6.6,90
Amiri Garibi,1990,155,Family,4.9,47
Amit Sahni Ki List,2014,110,"Comedy, Romance",5.4,347
Amma,1986,135,Drama,6.2,11
Amma Nagamma,2001,110,"Drama, Fantasy, Thriller",5.6,7
Ammaa Ki Boli,2021,117,"Comedy, Drama",8.1,871
Amrapali,1966,119,"Musical, Fantasy",6.6,194
Amrit,1986,137,"Drama, Family",7,169
Amu,2005,102,Drama,7.3,856
An Evening in Paris,1967,168,"Musical, Romance, Thriller",6.9,328
An Insignificant Man,2016,96,"Documentary, Thriller",8.7,1928
Anaarkali of Aarah,2017,113,Drama,5.9,1636
Anamika,1973,125,"Mystery, Romance, Musical",7.1,278
Anand,1971,122,"Drama, Musical",8.3,31937
Anand Math,1952,176,"Biography, Drama, History",7.6,85
Ananda Ashram,1977,127,"Drama, Family",7.1,140
Anari,1959,166,"Comedy, Drama, Musical",7.9,740
Anari,1993,171,"Comedy, Drama, Romance",4.8,429
Anari,1975,144,"Drama, Romance",6.2,36
Anari No. 1,1999,169,Comedy,5,636
Anarkali,1953,175,"History, Musical, Romance",7.2,72
Anatomy of Violence,2016,93,"Crime, Drama",5.4,54
Andaaz,2003,145,"Drama, Musical, Romance",5.3,2359
Andaz,1949,148,"Musical, Drama, Crime",7.2,498
Andaz,1971,166,"Drama, Romance",6.7,275
Andaz,1994,167,"Action, Comedy, Drama",4.4,402
Andaz Apna Apna,1994,160,"Action, Comedy, Romance",8.1,50810
Andha Bichar,1990,148,"Action, Drama",6.8,16
Andha Oru Nimidam,1985,144,"Action, Crime, Drama",6.8,53
Andhaa Kaanoon,1983,155,"Action, Drama",6.1,666
Andhadhun,2018,139,"Crime, Drama, Music",8.2,77901
Andhera,1975,110,"Crime, Drama, Thriller",5.1,30
Andheri Raat Mein Diya Tere Haath Mein,1986,129,"Comedy, Drama",6.8,56
Andhi Gali,1984,152,"Drama, Thriller",5.5,13
Andolan,1995,165,"Action, Comedy, Drama",5,249
Angaar,1992,176,"Action, Crime, Drama",6.4,297
